,SkinID,ROI ID,680 nm,690 nm,700 nm,710 nm,720 nm,730 nm,740 nm,750 nm,760 nm,770 nm,780 nm,790 nm,800 nm,810 nm,820 nm,830 nm,840 nm,850 nm,860 nm,870 nm,880 nm,890 nm,900 nm,910 nm,920 nm,930 nm,940 nm,950 nm,960 nm,970 nm,980 nm,990 nm,1000 nm,1010 nm,1020 nm,1030 nm,1040 nm,1050 nm,1060 nm,1070 nm,1080 nm,1090 nm,1100 nm
71,SKIN18,3,0.07788203738423546,0.06751881498556028,0.07858900073363977,0.07366512805101885,0.07443624956578442,0.06923464029429115,0.06661466112368128,0.06371667312912282,0.06092259558357825,0.06375599461987023,0.06610263578148985,0.06680172992561371,0.06484456117600605,0.062002257847520566,0.06047749354173389,0.058130121878076965,0.06084801898444044,0.05808155450812467,0.05535039366426468,0.05155262474389756,0.044529927162681525,0.041453857209055776,0.03322064663602003,0.024633862600037224,0.01962282314185457,0.015963790455344233,0.023250452865134164,0.029020312686412014,0.03026450206637091,0.032262733737364636,0.031371068370057105,,,,,,,,,,,,
72,SKIN19,0,0.06023521031471538,0.06086476074897291,0.059379388851144535,0.05748213214044311,0.05780256785740032,0.05789661248818948,0.051965330703320343,0.04808882586330568,0.04285229510248905,0.042989502111310855,0.04388383765922171,0.04326327408664045,0.03805324108900045,0.03251229939663562,0.025191534699531015,0.02053315553759539,0.016002101280855864,0.012342822461235534,0.009440484401192722,0.00703227730881775,0.004954460501445025,0.002988523416510246,0.0017452908660106322,0.0010123802115614554,0.001226896665910262,0.0009247740385508764,0.0009732347325792265,0.001092016297415728,0.001405158116199217,0.0011503068233113577,0.0013396367092853502,,,,,,,,,,,,
73,SKIN19,1,0.017382770509050353,0.017264013210187536,0.016295269148713258,0.01567201452333009,0.01591580612596028,0.016158517793426884,0.013977368950803017,0.012681256821276937,0.01084750069981123,0.010825901823278073,0.010781336070269577,0.01075324729265413,0.00899198599604469,0.007484822871976877,0.005730634542883795,0.004672240762943119,0.003664261093090166,0.003005266568956248,0.0028257907664521343,0.0026216041700423158,0.002734783223813772,0.002668862782040544,0.002371260186126143,0.001780864790491019,0.0014415027333787003,0.0018262889372372593,0.001689402823275231,0.0021703603512149817,0.0020636684194470806,0.0025342384317219788,0.002433565563595931,,,,,,,,,,,,
74,SKIN19,2,0.04463516420603021,0.04391743654769349,0.04236867499569281,0.04126509158440362,0.04147931357748273,0.041693097353541354,0.037433811747311134,0.03413637674227331,0.029766543618786386,0.02932205045911921,0.029326935629994624,0.02885757594690194,0.02476079519315017,0.020598312050494623,0.01551488570282796,0.012051232944963332,0.009385566891254023,0.007210556018434031,0.005568741091728236,0.00392353873661701,0.0032431149036609803,0.0027532118278263966,0.002847747258807855,0.0034362265656103187,0.004621679980442914,0.004720672102555463,0.004206660984530019,0.003351535788195445,0.0032298388738900233,0.003331145717395541,0.003540981509596456,,,,,,,,,,,,
75,SKIN19,3,0.07158580579911654,0.07419035612013344,0.0749358651860784,0.07351558595594775,0.0719754151858739,0.07075740076624944,0.06601453826254584,0.06484238924363213,0.061892078928600644,0.06438565942242123,0.06590036945156441,0.06655654128352947,0.06399178807714863,0.06211842422990109,0.058930964956925604,0.059433444775116036,0.059217011346214904,0.057252470970877725,0.056528364880433425,0.050888860720771305,0.046736059991831516,0.040282395575165185,0.03249823480451288,0.024079408942661782,0.020132983187256433,0.016698948250456043,0.02327838113312205,0.02943776573551929,0.02962214944875192,0.032369240427790526,0.031311932950875254,,,,,,,,,,,,
76,SKIN20,0,0.0658589208092228,0.05110191479042302,0.0610516802507851,0.05944480286580464,0.059766770599112874,0.05850896151204685,0.05435269296102582,0.0495425325009319,0.04353738342025032,0.04262562674868598,0.04556593511888544,0.04465222995807235,0.041280901226825435,0.03403933488856236,0.026931812242794846,0.021222911074655234,0.017268093690338913,0.012950912389998908,0.009893326997966688,0.007456279051093238,0.004808100937359032,0.0028354240314969275,0.0013148938982529715,0.0018062285021566017,0.0017171484385848585,,0.0015489544976495693,0.0012936326236720498,0.0014200827797526076,0.0016710337346066647,0.0014104636731268078,,,,,,,,,,,,
77,SKIN20,1,0.015547099405351346,0.011841511807322153,0.013798367107837271,0.01326073374596638,0.013474210986105486,0.013196515866016558,0.011683616069207817,0.010278706869036855,0.008602644970433662,0.00839964990246184,0.0092369416261416,0.00893040617580456,0.00787998649621424,0.006467690871105976,0.004574241229899933,0.003657674764810222,0.0034029333859121286,0.0030513945993562988,0.0029491178248108557,0.0031358432691398143,0.0029389845504612464,0.00259430752609866,0.002072689934685987,0.0011835970841042843,,,0.0013775477041149846,0.0018687100445875645,0.0019027296091568544,0.0023643853247798897,0.002308267089732526,,,,,,,,,,,,
78,SKIN20,2,0.04641534780656507,0.035266974272589235,0.041684313259416385,0.04041618303087529,0.040406202391639306,0.04002205268352995,0.036634046325379074,0.03269784103562265,0.028232579246576055,0.0271035551316663,0.02841428944850924,0.027353349721618903,0.02470632218741627,0.01941459445281287,0.014443022564383162,0.010464583019277962,0.007658393809550323,0.004967027113156392,0.0036293881055651654,0.0030833915390650274,0.0029157289806437483,0.004404163436480738,0.0055234925487542275,0.005184494870050067,0.003139187810024086,0.002276897952483416,0.005299842095114109,0.005475335650133005,0.0056033487558904424,0.005238420681698202,0.004700024991973903,,,,,,,,,,,,
79,SKIN20,3,0.07838165190892667,0.0628933786241368,0.07774572805449291,0.07627817127524053,0.07417382843994015,0.07179897418723259,0.0683320698945949,0.0669065628369492,0.06349663188960099,0.06451469002485251,0.06868112428056344,0.06842698419468372,0.06923460176601236,0.06517007273867836,0.06337787288575596,0.061729154397827134,0.061724742973031994,0.05975182135045537,0.057413051810258964,0.05356813278677184,0.0471233599041537,0.04132085782200575,0.03368637282289191,0.02376167570076438,0.018977907046407404,0.014955727726497905,0.021752475212114424,0.03081704837522277,0.030639687989052575,0.03349585931191738,0.03139311212134421,,,,,,,,,,,,
80,SKIN21,0,0.06589433885291529,0.05778513748840477,0.06075185086395873,0.059597822682209735,0.05784134954209554,0.0598671278363383,0.05511397929876299,0.049008484439904985,0.04445382069369185,0.04371420236769177,0.0449988364044644,0.044583157824359655,0.040506152145484094,0.032757411801394104,0.027043410953708557,0.020962772069920855,0.016718347492874278,0.012610655004310568,0.00991960449678651,0.007299418291020172,0.005071545940330244,0.0034645611968188673,0.0019849770978145383,0.0012044950481134666,0.001296260386343265,0.0011203766206284852,0.0012319592606736048,0.0012873965332363293,0.0011760233494461207,0.0013692310942886126,0.0011910541648277781,,,,,,,,,,,,
81,SKIN21,1,0.018180832269270513,0.01551686161673823,0.01603111609245506,0.01563504451848628,0.015330028863921229,0.015822615285645585,0.01426696528179498,0.011955546280056694,0.010522399837397434,0.010318637906289459,0.010748801508056344,0.010375002796260996,0.009225535123846058,0.006879750523970131,0.005932004091360614,0.00402985160626725,0.0037291036808387384,0.0029724009522979185,0.0028730804757582883,0.0028588436656130545,0.002877712480992384,0.002846975317188714,0.002790620251220184,0.0017833150270301782,0.0016764596399049543,0.001491909663623005,0.001724538358804616,0.002287647515436618,0.002557228181801564,0.0025607237684194895,0.0024818049094044764,,,,,,,,,,,,
82,SKIN21,2,0.04696792096085964,0.040528707948136934,0.042099880215472375,0.040886338158125715,0.04000174905292057,0.041353960634210894,0.038012617542281565,0.032921824777402714,0.029506209820302436,0.028355914920548928,0.028780203135688732,0.028261621249222955,0.024761084485904323,0.020082845973933963,0.015455071990845304,0.010782027095010513,0.008392788490492555,0.006027425690300505,0.0044809853650078,0.0032951692613842234,0.002833869024235662,0.00286211442707961,0.003352364454253703,0.004648758065898214,0.004836078300833077,0.004652583163429485,0.0048480209404502235,0.00433702803473107,0.004323601009544709,0.004107161555617454,0.003906620743602646,,,,,,,,,,,,
