,SkinID,Label,ITA,Wavelengths,Max,Min,FractionClipped,AnyClipping
259,SKIN05,Forearm,48.432,1210,2584.3333333333335,1824.0,0.0,0.0
260,SKIN06,Bicep,52.444,700,2483.4444444444443,1681.888888888889,0.0,0.0
273,SKIN06,Neck,26.894,700,2753.8888888888887,1346.2222222222222,0.0,0.0
286,SKIN06,Leg,43.756,700,3089.5555555555557,991.7777777777778,0.0,0.0
299,SKIN06,Forearm,25.806,700,3332.222222222222,618.6666666666666,2.4383583021223475e-07,0.1111111111111111
261,SKIN06,Bicep,52.444,730,2443.222222222222,1748.888888888889,0.0,0.0
274,SKIN06,Neck,26.894,730,2648.222222222222,1460.4444444444443,0.0,0.0
287,SKIN06,Leg,43.756,730,2983.3333333333335,1138.5555555555557,0.0,0.0
300,SKIN06,Forearm,25.806,730,3144.0,867.7777777777778,0.0,0.0
262,SKIN06,Bicep,52.444,760,2383.1111111111113,1791.2222222222222,0.0,0.0
275,SKIN06,Neck,26.894,760,2520.3333333333335,1650.5555555555557,0.0,0.0
288,SKIN06,Leg,43.756,760,2728.0,1393.2222222222222,0.0,0.0
301,SKIN06,Forearm,25.806,760,2837.8888888888887,1195.4444444444443,0.0,0.0
263,SKIN06,Bicep,52.444,800,2369.3333333333335,1823.111111111111,0.0,0.0
276,SKIN06,Neck,26.894,800,2450.8888888888887,1772.4444444444443,0.0,0.0
289,SKIN06,Leg,43.756,800,2589.6666666666665,1567.888888888889,0.0,0.0
302,SKIN06,Forearm,25.806,800,2649.777777777778,1470.3333333333333,0.0,0.0
264,SKIN06,Bicep,52.444,850,2363.1111111111113,1821.4444444444443,0.0,0.0
277,SKIN06,Neck,26.894,850,2392.5555555555557,1819.4444444444443,0.0,0.0
290,SKIN06,Leg,43.756,850,2487.4444444444443,1679.2222222222222,0.0,0.0
303,SKIN06,Forearm,25.806,850,2558.6666666666665,1727.5555555555557,0.0,0.0
265,SKIN06,Bicep,52.444,910,2423.222222222222,1833.4444444444443,0.0,0.0
278,SKIN06,Neck,26.894,910,2446.4444444444443,1817.888888888889,0.0,0.0
291,SKIN06,Leg,43.756,910,2465.5555555555557,1738.888888888889,0.0,0.0
304,SKIN06,Forearm,25.806,910,2515.777777777778,1779.888888888889,0.0,0.0
266,SKIN06,Bicep,52.444,930,2534.6666666666665,1791.4444444444443,0.0,0.0
279,SKIN06,Neck,26.894,930,2566.4444444444443,1787.7777777777778,0.0,0.0
292,SKIN06,Leg,43.756,930,2570.777777777778,1749.0,0.0,0.0
305,SKIN06,Forearm,25.806,930,2659.777777777778,1770.6666666666667,0.0,0.0
267,SKIN06,Bicep,52.444,950,2349.4444444444443,1812.5555555555557,0.0,0.0
280,SKIN06,Neck,26.894,950,2340.5555555555557,1828.5555555555557,0.0,0.0
293,SKIN06,Leg,43.756,950,2405.4444444444443,1803.3333333333333,0.0,0.0
306,SKIN06,Forearm,25.806,950,2427.4444444444443,1875.6666666666667,0.0,0.0
268,SKIN06,Bicep,52.444,980,2368.5555555555557,1832.6666666666667,0.0,0.0
281,SKIN06,Neck,26.894,980,2402.222222222222,1828.3333333333333,0.0,0.0
294,SKIN06,Leg,43.756,980,2473.3333333333335,1831.7777777777778,0.0,0.0
307,SKIN06,Forearm,25.806,980,2534.0,1866.111111111111,0.0,0.0
269,SKIN06,Bicep,52.444,1030,2338.0,1926.5555555555557,0.0,0.0
282,SKIN06,Neck,26.894,1030,2323.8888888888887,1930.7777777777778,0.0,0.0
295,SKIN06,Leg,43.756,1030,2321.8888888888887,1911.5555555555557,0.0,0.0
308,SKIN06,Forearm,25.806,1030,2362.3333333333335,1936.4444444444443,0.0,0.0
270,SKIN06,Bicep,52.444,1080,2297.0,1962.4444444444443,0.0,0.0
283,SKIN06,Neck,26.894,1080,2312.0,1963.7777777777778,0.0,0.0
296,SKIN06,Leg,43.756,1080,2297.6666666666665,1958.4444444444443,0.0,0.0
309,SKIN06,Forearm,25.806,1080,2330.1111111111113,1963.2222222222222,0.0,0.0
271,SKIN06,Bicep,52.444,1100,2297.5555555555557,1961.6666666666667,0.0,0.0
284,SKIN06,Neck,26.894,1100,2316.1111111111113,1967.3333333333333,0.0,0.0
297,SKIN06,Leg,43.756,1100,2323.6666666666665,1966.4444444444443,0.0,0.0
310,SKIN06,Forearm,25.806,1100,2311.4444444444443,1967.4444444444443,0.0,0.0
272,SKIN06,Bicep,52.444,1210,2589.777777777778,1771.2222222222222,0.0,0.0
285,SKIN06,Neck,26.894,1210,2564.6666666666665,1814.7777777777778,0.0,0.0
298,SKIN06,Leg,43.756,1210,2633.1111111111113,1804.0,0.0,0.0
311,SKIN06,Forearm,25.806,1210,2733.0,1726.5555555555557,0.0,0.0
312,SKIN07,Bicep,42.734,700,2901.5555555555557,848.7777777777778,0.0,0.0
325,SKIN07,Neck,33.54,700,3181.6666666666665,1132.2222222222222,0.0,0.0
