,ITA,SSIM
1386,-29.470000000000006,0.999985138575236
1387,-29.470000000000006,0.9999869664510092
1388,-29.470000000000006,0.9999860127766927
1389,-29.470000000000006,0.9999821980794271
1390,-29.470000000000006,0.999982992808024
1430,-1.302,0.9999880790710449
1431,-1.302,0.9999872843424479
1432,-1.302,0.9999884764353434
1433,-1.302,0.9999846617380778
1434,-1.302,0.999983549118042
1435,-1.302,0.9999771118164062
1436,-1.302,0.9999772707621256
1437,-1.302,0.9999785423278809
1438,-1.302,0.999975840250651
1439,-1.302,0.9999748865763346
1440,-1.302,0.9999797344207764
1441,-1.302,0.9999790191650391
1442,-1.302,0.9999789396921793
1482,-39.70666666666667,0.9999920527140299
1483,-39.70666666666667,0.9999916553497314
1484,-39.70666666666667,0.9999920527140299
1485,-39.70666666666667,0.9999917348225912
1486,-39.70666666666667,0.9999923706054688
1487,-39.70666666666667,0.9999898274739584
1488,-39.70666666666667,0.9999883969624838
1489,-39.70666666666667,0.999988317489624
1490,-39.70666666666667,0.9999876022338867
1491,-39.70666666666667,0.9999839464823405
1492,-39.70666666666667,0.9999852975209554
1493,-39.70666666666667,0.9999825159708658
1494,-39.70666666666667,0.9999882380167643
1534,-63.59,0.9999899864196777
1535,-63.59,0.9999894301096598
1536,-63.59,0.9999899864196777
1537,-63.59,0.9999898274739584
1538,-63.59,0.9999909400939941
1539,-63.59,0.9999906222025553
1540,-63.59,0.9999903043111166
1541,-63.59,0.9999896685282389
1542,-63.59,0.9999852180480957
1543,-63.59,0.9999817212422689
1544,-63.59,0.9999830722808838
1545,-63.59,0.9999817212422689
1546,-63.59,0.9999809265136719
1586,-21.659999999999997,0.9999874432881674
1587,-21.659999999999997,0.9999873638153076
1588,-21.659999999999997,0.9999886353810629
1589,-21.659999999999997,0.999987522761027
1590,-21.659999999999997,0.9999879201253256
1591,-21.659999999999997,0.9999844233194987
1592,-21.659999999999997,0.9999858538309733
1593,-21.659999999999997,0.9999824364980062
1594,-21.659999999999997,0.9999798933664957
1595,-21.659999999999997,0.999978224436442
1596,-21.659999999999997,0.9999764760335287
1597,-21.659999999999997,0.9999736150105795
1598,-21.659999999999997,0.9999814033508301
1638,-27.86,0.9999862511952718
1639,-27.86,0.9999855359395345
1640,-27.86,0.9999860127766927
1641,-27.86,0.9999845822652181
1642,-27.86,0.9999832312266032
1643,-27.86,0.9999781449635824
1644,-27.86,0.9999780654907227
1645,-27.86,0.9999723434448242
1646,-27.86,0.9999699592590332
1647,-27.86,0.9999690055847168
1648,-27.86,0.9999711513519287
1649,-27.86,0.9999680519104004
1650,-27.86,0.9999659856160482
1690,-29.898000000000003,0.9999903837839762
1691,-29.898000000000003,0.9999903043111166
1692,-29.898000000000003,0.9999898274739584
1693,-29.898000000000003,0.9999896685282389
1694,-29.898000000000003,0.999988873799642
1695,-29.898000000000003,0.9999871253967285
1696,-29.898000000000003,0.9999868869781494
1697,-29.898000000000003,0.9999842643737793
1698,-29.898000000000003,0.9999790986378988
1699,-29.898000000000003,0.9999790191650391
